Semut,Step,Dari Kota,Ke Kota,Jarak,Pheromone,Probabilitas,Random R,Keputusan,Rute Sementara
Semut 1,1,15,5,25.0000,1.000000,0.428109,0.434647,Pindah ke Kota 5,15-5
Semut 1,2,5,6,35.3553,1.000000,0.232033,0.203414,Pindah ke Kota 6,15-5-6
Semut 1,3,6,25,124.1974,1.000000,0.046963,0.443812,Pindah ke Kota 25,15-5-6-25
Semut 1,52,52,15,995.1131,1.000000,1.000000,0.000000,Kembali ke Awal (Kota 15),15-5-6-25-37-40-39-36-35-34-24-48-32-49-16-29-20-50-31-22-1-46-44-23-30-21-4-38-47-11-10-45-19-41-18-17-3-51-12-28-27-26-13-14-43-8-9-33-2-7-42-52-15
Semut 2,1,10,41,243.9775,0.900000,0.050530,0.879747,Pindah ke Kota 41,10-41
Semut 2,2,41,48,498.5228,0.900000,0.006756,0.974621,Pindah ke Kota 48,10-41-48
Semut 2,3,48,24,15.8114,0.900061,0.635204,0.628817,Pindah ke Kota 24,10-41-48-24
Semut 2,52,23,10,734.9320,0.900000,1.000000,0.000000,Kembali ke Awal (Kota 10),10-41-48-24-37-50-20-34-40-5-15-4-26-16-38-46-44-18-21-31-22-1-32-49-35-36-39-6-47-43-12-11-29-33-51-28-3-19-45-9-8-17-42-7-2-27-14-52-13-25-30-23-10
Semut 3,1,30,2,390.4485,0.810000,0.023318,0.028043,Pindah ke Kota 2,30-2
Semut 3,2,2,32,730.0000,0.810000,0.002821,0.817110,Pindah ke Kota 32,30-2-32
Semut 3,3,32,35,130.3840,0.810000,0.045461,0.420307,Pindah ke Kota 35,30-2-32-35
Semut 3,52,33,30,1172.9024,0.810000,1.000000,0.000000,Kembali ke Awal (Kota 30),30-2-32-35-36-39-48-24-5-6-38-37-40-15-25-20-1-34-49-22-31-21-18-45-11-10-9-8-41-27-28-26-47-19-42-7-46-23-12-43-16-50-3-17-51-4-44-29-14-13-52-33-30
Semut 4,1,35,36,15.0000,0.729154,0.543781,0.465974,Pindah ke Kota 36,35-36
Semut 4,2,36,34,33.5410,0.729000,0.340878,0.291860,Pindah ke Kota 34,35-36-34
Semut 4,3,34,21,416.2031,0.729000,0.003871,0.171839,Pindah ke Kota 21,35-36-34-21
Semut 4,52,51,35,667.7762,0.729000,1.000000,0.000000,Kembali ke Awal (Kota 35),35-36-34-21-31-49-32-39-38-48-24-5-15-6-33-17-3-40-43-18-8-4-45-19-41-22-1-10-9-23-30-20-50-16-37-46-25-12-27-28-26-13-42-2-7-11-44-29-14-47-52-51-35
Semut 5,1,33,18,903.2442,0.656100,0.012525,0.357627,Pindah ke Kota 18,33-18
Semut 5,2,18,45,228.0351,0.656147,0.028157,0.909467,Pindah ke Kota 45,33-18-45
Semut 5,3,45,32,151.3275,0.656100,0.069729,0.620719,Pindah ke Kota 32,33-18-45-32
Semut 5,52,11,33,706.1338,0.656100,1.000000,0.000000,Kembali ke Awal (Kota 33),33-18-45-32-20-50-39-40-35-34-5-15-24-25-46-36-49-22-31-1-38-48-6-4-43-44-17-3-9-10-41-8-27-51-12-28-14-47-13-52-26-29-16-30-19-21-2-42-7-23-37-11-33
Semut 6,1,33,37,668.5058,0.590490,0.022865,0.637622,Pindah ke Kota 37,33-37
Semut 6,2,37,24,66.7083,0.590532,0.072345,0.210257,Pindah ke Kota 24,33-37-24
Semut 6,3,24,48,15.8114,0.590666,0.581347,0.496896,Pindah ke Kota 48,33-37-24-48
Semut 6,52,11,33,706.1338,0.590557,1.000000,0.000000,Kembali ke Awal (Kota 33),33-37-24-48-5-6-4-25-15-35-36-34-44-38-49-1-22-32-21-30-42-2-7-26-27-10-9-51-12-43-52-47-29-50-20-40-16-39-18-31-8-41-19-45-17-14-23-3-46-28-13-11-33
Semut 7,1,10,9,83.2166,0.531643,0.434432,0.509516,Pindah ke Kota 9,10-9
Semut 7,2,9,3,485.6439,0.531501,0.025814,0.034930,Pindah ke Kota 3,10-9-3
Semut 7,3,3,37,447.4651,0.531441,0.013701,0.741881,Pindah ke Kota 37,10-9-3-37
Semut 7,52,33,10,500.8992,0.531441,1.000000,0.000000,Kembali ke Awal (Kota 10),10-9-3-37-25-4-24-48-16-32-49-43-34-44-38-39-35-36-40-31-1-22-18-23-20-50-29-30-28-27-13-47-5-6-15-8-41-19-45-46-26-52-14-2-7-42-21-17-12-51-11-33-10
Semut 8,1,28,27,110.1136,0.478475,0.271941,0.709808,Pindah ke Kota 27,28-27
Semut 8,2,27,23,845.9314,0.478297,0.006374,0.381763,Pindah ke Kota 23,28-27-23
Semut 8,3,23,17,418.0012,0.478297,0.009404,0.152775,Pindah ke Kota 17,28-27-23-17
Semut 8,52,11,28,417.6422,0.478297,1.000000,0.000000,Kembali ke Awal (Kota 28),28-27-23-17-31-36-35-40-48-25-4-5-6-24-38-15-7-2-30-50-1-49-32-22-45-34-39-37-44-29-33-12-3-19-41-8-20-21-14-26-42-18-46-16-9-10-43-47-52-13-51-11-28
Semut 9,1,8,41,64.0312,0.430712,0.436200,0.670734,Pindah ke Kota 41,8-41
Semut 9,2,41,45,165.6050,0.430467,0.098935,0.937380,Pindah ke Kota 45,8-41-45
Semut 9,3,45,33,687.7863,0.430467,0.003628,0.712697,Pindah ke Kota 33,8-41-45-33
Semut 9,52,13,8,1234.3419,0.430467,1.000000,0.000000,Kembali ke Awal (Kota 8),8-41-45-33-43-3-32-1-49-35-36-48-5-4-15-40-37-38-25-6-27-28-12-46-16-44-34-31-22-21-50-20-29-39-24-51-10-9-19-17-30-23-7-42-2-18-52-11-47-14-26-13-8
Semut 10,1,22,34,180.0694,0.387420,0.023198,0.732845,Pindah ke Kota 34,22-34
Semut 10,2,34,35,21.2132,0.387490,0.486118,0.501169,Pindah ke Kota 35,22-34-35
Semut 10,3,35,36,15.0000,0.387750,0.751525,0.365771,Pindah ke Kota 36,22-34-35-36
Semut 10,52,11,22,1085.5644,0.387420,1.000000,0.000000,Kembali ke Awal (Kota 22),22-34-35-36-24-48-40-5-15-6-37-38-39-49-32-18-44-23-31-41-10-9-50-16-29-14-47-27-28-51-25-4-43-12-45-19-8-17-3-2-21-30-7-42-26-13-52-1-20-46-33-11-22
Semut 11,1,20,50,35.3553,0.348943,0.605586,0.684718,Pindah ke Kota 50,20-50
Semut 11,2,50,36,265.7066,0.348678,0.028387,0.733206,Pindah ke Kota 36,20-50-36
Semut 11,3,36,1,125.0000,0.348678,0.009104,0.002126,Pindah ke Kota 1,20-50-36-1
